"species","filter","methodPA","nPA","initial","cleaned","x","y","min_geom","AUC","TSS","OUC","boyce","COI"
"Juniperusoxy","control","random","Npresences",-0.303690727814309,-0.589271669362028,-0.283127526674951,-0.821030627975258,-0.272487875968912,0.937656666666667,0.81457,0.0507265753353069,0.757496740547588,0.831679106509211
"Juniperusoxy","country","disk","1000",-0.303690727814309,-0.589271669362028,-0.283127526674951,-0.821030627975258,-0.272487875968912,0.9589,0.905845666666667,0.111922052244615,0.674054758800522,0.78289747040084
"Juniperusoxy","country","disk","Npresences",-0.303690727814309,-0.589271669362028,-0.283127526674951,-0.821030627975258,-0.272487875968912,0.968540659340659,0.928834432234432,0.082799538806755,0.647327249022164,0.819580188275153
"Juniperusoxy","country","random","1000",-0.303690727814309,-0.589271669362028,-0.283127526674951,-0.821030627975258,-0.272487875968912,0.888276666666667,0.69462,0.110606682511565,0.771186440677966,0.770960012214187
"Juniperusoxy","country","random","Npresences",-0.303690727814309,-0.589271669362028,-0.283127526674951,-0.821030627975258,-0.272487875968912,0.913225694444444,0.737079861111111,0.0526982417824096,0.761408083441982,0.846879238832589
"Juniperusoxy","pixel","disk","1000",-0.303690727814309,-0.589271669362028,-0.283127526674951,-0.821030627975258,-0.272487875968912,0.957473333333333,0.896143,0.083749525034105,0.626466753585398,0.775487599924821
"Juniperusoxy","pixel","disk","Npresences",-0.303690727814309,-0.589271669362028,-0.283127526674951,-0.821030627975258,-0.272487875968912,0.975630333333333,0.94032,0.0514437330087416,0.558018252933507,0.832838976316048
"Juniperusoxy","pixel","random","1000",-0.303690727814309,-0.589271669362028,-0.283127526674951,-0.821030627975258,-0.272487875968912,0.942452380952381,0.80822619047619,0.0400643122874902,0.6877444589309,0.845397252172236
"Juniperusoxy","pixel","random","Npresences",-0.303690727814309,-0.589271669362028,-0.283127526674951,-0.821030627975258,-0.272487875968912,0.921166666666667,0.774223333333333,0.0578021245809685,0.702737940026076,0.835009742979232
"Juniperuspho","control","disk","1000",-0.639793902568638,-0.731195526293704,-0.792004325846457,-0.952494328070166,-0.469029266369179,0.979120905923345,0.944777003484321,0.0455153965162272,0.636897001303781,0.845292964369549
"Juniperuspho","control","disk","Npresences",-0.639793902568638,-0.731195526293704,-0.792004325846457,-0.952494328070166,-0.469029266369179,0.985236298932384,0.957637010676157,0.0301007526508268,0.608213820078227,0.861472857821064
"Juniperuspho","control","random","1000",-0.639793902568638,-0.731195526293704,-0.792004325846457,-0.952494328070166,-0.469029266369179,0.955611510791367,0.863643884892086,0.0368173419983081,0.757496740547588,0.856324788964529
"Juniperuspho","control","random","Npresences",-0.639793902568638,-0.731195526293704,-0.792004325846457,-0.952494328070166,-0.469029266369179,0.953473867595819,0.859062717770035,0.0315306585721953,0.773142112125163,0.861426020195781
"Juniperuspho","country","disk","1000",-0.639793902568638,-0.731195526293704,-0.792004325846457,-0.952494328070166,-0.469029266369179,0.973408666666667,0.930523333333333,0.059689630882092,0.627770534550196,0.851486585549516
"Juniperuspho","country","disk","Npresences",-0.639793902568638,-0.731195526293704,-0.792004325846457,-0.952494328070166,-0.469029266369179,0.975952684563758,0.932996644295302,0.0578681026514256,0.601043024771838,0.855611570015596
"Juniperuspho","country","random","1000",-0.639793902568638,-0.731195526293704,-0.792004325846457,-0.952494328070166,-0.469029266369179,0.922549645390071,0.77331914893617,0.0893862406326927,0.762059973924381,0.833911149079966
